t,solar,wind
1152,0,0.138
1153,0,0.154
1154,0,0.171
1155,0,0.221
1156,0.008,0.29
1157,0.075,0.428
1158,0.182,0.572
1159,0.3,0.603
1160,0.363,0.558
1161,0.354,0.498
1162,0.306,0.474
1163,0.245,0.48
1164,0.18,0.538
1165,0.094,0.654
1166,0.029,0.771
1167,0,0.837
1168,0,0.863
1169,0,0.876
1170,0,0.886
1171,0,0.884
1172,0,0.868
1173,0,0.836
1174,0,0.766
1175,0,0.708
1176,0,0.584
1177,0,0.466
1178,0,0.464
1179,0,0.456
1180,0.003,0.317
1181,0.159,0.215
1182,0.449,0.176
1183,0.703,0.119
1184,0.817,0.074
1185,0.858,0.071
1186,0.835,0.131
1187,0.8,0.292
1188,0.744,0.448
1189,0.641,0.44
1190,0.392,0.268
1191,0.013,0.411
1192,0,0.644
1193,0,0.704
1194,0,0.636
1195,0,0.546
1196,0,0.427
1197,0,0.341
1198,0,0.322
1199,0,0.359
1200,0,0.416
1201,0,0.416
1202,0,0.407
1203,0,0.379
1204,0.069,0.324
1205,0.298,0.147
1206,0.501,0.14
1207,0.497,0.153
1208,0.45,0.104
1209,0.669,0.099
1210,0.786,0.139
1211,0.818,0.141
1212,0.726,0.16
1213,0.293,0.158
1214,0.038,0.108
1215,0,0.037
1216,0,0.015
1217,0,0.064
1218,0,0.226
1219,0,0.394
1220,0,0.468
1221,0,0.429
1222,0,0.346
1223,0,0.325
1224,0,0.299
1225,0,0.265
1226,0,0.236
1227,0,0.233
1228,0.008,0.263
1229,0.164,0.193
1230,0.467,0.282
1231,0.676,0.513
1232,0.719,0.603
1233,0.696,0.602
1234,0.742,0.576
1235,0.802,0.534
1236,0.749,0.468
1237,0.652,0.436
1238,0.436,0.314
1239,0.049,0.334
1240,0,0.437
1241,0,0.54
1242,0,0.581
1243,0,0.547
1244,0,0.421
1245,0,0.194
1246,0,0.182
1247,0,0.282
1248,0,0.383
1249,0,0.446
1250,0,0.474
1251,0,0.47
1252,0.323,0.454
1253,0.794,0.279
1254,0.856,0.121
1255,0.868,0.221
1256,0.868,0.395
1257,0.859,0.543
1258,0.843,0.648
1259,0.817,0.762
1260,0.769,0.832
1261,0.679,0.834
1262,0.473,0.672
1263,0.057,0.813
1264,0,0.924
1265,0,0.93
1266,0,0.918
1267,0,0.958
1268,0,0.966
1269,0,0.95
1270,0,0.944
1271,0,0.927
1272,0,0.94
1273,0,0.966
1274,0,0.966
1275,0,0.957
1276,0.369,0.948
1277,0.838,0.955
1278,0.894,0.981
1279,0.9,0.985
1280,0.9,0.984
1281,0.894,0.977
1282,0.877,0.963
1283,0.852,0.938
1284,0.807,0.906
1285,0.723,0.85
1286,0.526,0.713
1287,0.076,0.567
1288,0,0.528
1289,0,0.502
1290,0,0.516
1291,0,0.559
1292,0,0.595
1293,0,0.642
1294,0,0.693
1295,0,0.725
1296,0,0.717
1297,0,0.667
1298,0,0.559
1299,0,0.415
1300,0.355,0.253
1301,0.803,0.049
1302,0.87,0.035
1303,0.891,0.174
1304,0.893,0.231
1305,0.88,0.237
1306,0.861,0.204
1307,0.831,0.175
1308,0.778,0.166
1309,0.686,0.185
1310,0.467,0.266
1311,0.052,0.599
1312,0,0.789
1313,0,0.81
1314,0,0.742
1315,0,0.66
1316,0,0.567
1317,0,0.564
1318,0,0.428
1319,0,0.292
1320,0,0.231
1321,0,0.204
1322,0,0.183
1323,0,0.162
1324,0.186,0.145
1325,0.682,0.106
1326,0.825,0.182
1327,0.855,0.212
1328,0.859,0.18
1329,0.848,0.146
1330,0.829,0.122
1331,0.8,0.095
1332,0.752,0.065
1333,0.657,0.046
1334,0.459,0.075
1335,0.068,0.26
1336,0,0.458
1337,0,0.521
1338,0,0.508
1339,0,0.414
1340,0,0.258
1341,0,0.126
1342,0,0.049
1343,0,0.035
1344,0,0.038
1345,0,0.035
1346,0,0.025
1347,0,0.02
1348,0.14,0.024
1349,0.503,0.018
1350,0.777,0.009
1351,0.822,0.008
1352,0.831,0.017
1353,0.825,0.023
1354,0.811,0.023
1355,0.787,0.016
1356,0.742,0.011
1357,0.661,0.006
1358,0.475,0.002
1359,0.052,0.003
1360,0,0.002
1361,0,0.004
1362,0,0.011
1363,0,0.017
1364,0,0.019
1365,0,0.026
1366,0,0.028
1367,0,0.027
1368,0,0.058
1369,0,0.068
1370,0,0.055
1371,0,0.101
1372,0.004,0.078
1373,0.123,0.028
1374,0.395,0.008
1375,0.662,0.011
1376,0.755,0.021
1377,0.77,0.021
1378,0.701,0.013
1379,0.533,0.007
1380,0.335,0.001
1381,0.303,0.001
